id,name,hex,count
132,Speckle Black-Silver,05131D,1016
64,Chrome Black,1B2A34,520
1056,Trans-Brown Opal,583927,205
308,Dark Brown,352100,142
1018,Modulex Black,4D4C52,137
28,Dark Tan,958A73,130
1021,Modulex Brown,907450,120
1020,Modulex Terracotta,5C5030,100
60,Chrome Antique Brass,645A4C,86
8,Dark Gray,6D6E5C,83
78,Light Flesh,F6D7B3,63
86,Dark Flesh,7C503A,62
72,Dark Bluish Gray,6C6E68,60
1022,Modulex Buff,DEC69C,56
142,Pearl Light Gold,DCBC81,34
1023,Modulex Red,B52C20,29
503,Very Light Gray,E6E3DA,29
1017,Modulex Tile Gray,6B5A5A,27
70,Reddish Brown,582A12,23
1015,Modulex Light Gray,9C9C9C,22
179,Flat Silver,898788,21
1016,Modulex Charcoal Gray,595D60,21
150,Pearl Very Light Gray,ABADAC,20
19,Tan,E4CD9E,20
92,Flesh,D09168,19
294,Glow In Dark Trans,BDC6AD,19
183,Pearl White,F2F3F2,18
320,Dark Red,720E0F,15
148,Pearl Dark Gray,575857,15
32,Trans-Black IR Lens,635F52,15
1019,Modulex Tile Brown,330000,12
178,Flat Dark Gold,B48455,11
134,Copper,AE7A59,7
7,Light Gray,9BA19D,7
272,Dark Blue,0A3463,6
288,Dark Green,184632,6
326,Olive Green,9B9A5A,5
21,Glow In Dark Opaque,D4D5C9,4
1037,Modulex Violet,BD7D85,4
68,Very Light Orange,F3CF9B,3
1033,Modulex Teal Blue,467083,2
450,Fabuland Brown,B67B50,1
77,Light Pink,FECCCF,1
18,Light Yellow,FBE696,1
26,Magenta,923978,1
1013,Modulex White,F4F4F4,1
297,Pearl Gold,AA7F2E,1
